180	 143	 162	 183	 143	 141	 165	 158	 169	 172	 
236	 182	 218	 256	 176	 230	 277	 219	 243	 237	 
242	 182	 162	 185	 218	 199	 225	 207	 196	 217	 
229	 142	 163	 184	 184	 223	 188	 211	 142	 208	 
203	 181	 204	 220	 138	 212	 275	 205	 198	 211	 
94	 136	 98	 161	 131	 117	 133	 156	 195	 159	 
221	 178	 232	 261	 149	 255	 253	 225	 214	 246	 
212	 117	 143	 156	 155	 117	 164	 159	 157	 116	 
199	 162	 149	 160	 149	 219	 171	 197	 173	 180	 
205	 233	 197	 260	 233	 263	 264	 242	 271	 290	 
sum: 19171
