229	 171	 187	 252	 221	 155	 126	 125	 207	 225	 
105	 126	 166	 193	 128	 74	 120	 74	 98	 188	 
196	 189	 191	 183	 192	 90	 128	 127	 122	 164	 
112	 179	 180	 141	 203	 99	 152	 104	 190	 183	 
264	 248	 250	 320	 296	 189	 232	 149	 289	 306	 
292	 286	 300	 339	 309	 169	 220	 179	 210	 324	 
179	 129	 199	 209	 107	 128	 131	 61	 154	 185	 
250	 171	 219	 280	 218	 183	 153	 135	 260	 254	 
251	 276	 294	 304	 338	 192	 189	 177	 305	 309	 
239	 171	 177	 151	 218	 130	 128	 60	 225	 115	 
sum: 19320
